"PK_DHFF_ESPECE";"CODE_N2000";"CD_NOM";"CD_REF";"ST_TAXON";"NOM_EVAL_2013";"LB_NOM";"LB_AUTEUR";"NOM_VERN";"NIV_TAX";"PRIORITAIRE";"ANNEXE_II";"ANNEXE_IV";"ANNEXE_V";"ALP";"ATL";"CON";"MED";"MATL";"MMED";"TERRE";"MER";"COMMENTAIRE";"NOM_DIRECTIVE"
205,00;"1528";"121076";"121076";"NV";"Saxifraga hirculus";"Saxifraga hirculus";"L., 1753";"Saxifrage oeil-de-bouc";"Plantes";"false";"Y";"Y";"N";;;1,00;;;;"true";"false";;"Saxifraga hirculus"
206,00;"1534";"115458";"115458";"NV";"Potentilla delphinensis";"Potentilla delphinensis";"Gren. & Godr., 1848";"Potentille du Dauphiné";"Plantes";"false";"Y";"Y";"N";1,00;;;;;;"true";"false";;"Potentilla delphinensis"
207,00;"1545";"127469";"127469";"NV";"Trifolium saxatile";"Trifolium saxatile";"All., 1773";"Trèfle des rochers";"Plantes";"false";"Y";"Y";"N";1,00;;;;;;"true";"false";;"Trifolium saxatile"
209,00;"1581";"104707";"104707";"NV";"Kosteletzkya pentacarpos";"Kosteletzkya pentacarpos";"(L.) Ledeb., 1842";"Hibiscus à cinq fruits";"Plantes";"false";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Kosteletzkya pentacarpos"
210,00;"1585";"129587";"129587";"NV";"Viola hispida";"Viola hispida";"Lam., 1779";"Violette de Rouen";"Plantes";"true";"Y";"Y";"N";;1,00;;;;;"true";"false";;"Viola hispida"
211,00;"1603";"97152";"97152";"NV";"Eryngium viviparum";"Eryngium viviparum";"J.Gay, 1848";"Panicaut nain vivipare";"Plantes";"true";"Y";"Y";"N";;1,00;;;;;"true";"false";;"Eryngium viviparum"
212,00;"1604";"97133";"97133";"NV";"Eryngium alpinum";"Eryngium alpinum";"L., 1753";"Panicaut des Alpes";"Plantes";"false";"Y";"Y";"N";1,00;;1,00;;;;"true";"false";;"Eryngium alpinum"
213,00;"1607";"82715";"82715";"NV";"Angelica heterocarpa";"Angelica heterocarpa";"J.Lloyd, 1859";"Angélique à fruits variables";"Plantes";"true";"Y";"Y";"N";;1,00;;;;;"true";"false";;"Angelica heterocarpa"
214,00;"1608";"118900";"118900";"NV";"Rouya polygama";"Rouya polygama";"(Desf.) Coincy, 1901";"Thapsie de Rouy";"Plantes";"false";"Y";"Y";"N";;;;1,00;;;"true";"false";;"Rouya polygama"
215,00;"1614";"83215";"101223";"SY";"Apium repens";"Helosciadium repens";"(Jacq.) W.D.J.Koch, 1824";"Ache rampante";"Plantes";"false";"Y";"Y";"N";;1,00;1,00;;;;"true";"false";;"Apium repens"
216,00;"1618";"89191";"608144";"SY";"Thorella verticillatinundata";"Caropsis verticillato-inundata";"(Thore) Rauschert, 1982";"Faux cresson de Thore";"Plantes";"false";"Y";"Y";"N";;1,00;;;;;"true";"false";;"Thorella verticillatinundata"
217,00;"1625";"124144";"124144";"NV";"Soldanella villosa";"Soldanella villosa";"Darracq, 1850";"Grande soldanelle";"Plantes";"false";"Y";"Y";"N";;1,00;;;;;"true";"false";;"Soldanella villosa"
219,00;"1632";"82531";"82531";"NV";"Androsace pyrenaica";"Androsace pyrenaica";"Lam., 1792";"Androsace des Pyrénées";"Plantes";"false";"Y";"Y";"N";1,00;;;;;;"true";"false";;"Androsace pyrenaica"
