"PK_OWNERSHIP";"FPK_NATURA";"SITECODE";"TYPE";"LB_STPRO";"COVER"
"12420";"7237";"FR8212017";"50";"Domaine régional";
"12421";"7237";"FR8212017";"62";"Domaine public de l'état";
"12422";"7238";"FR8212018";"01";"Propriété privée (personne physique)";"63"
"12423";"7238";"FR8212018";"40";"Domaine départemental";"37"
"12424";"7239";"FR8212019";"01";"Propriété privée (personne physique)";"65"
"12425";"7239";"FR8212019";"30";"Domaine communal";"4"
"12426";"7239";"FR8212019";"61";"Domaine privé de l'état";"15"
"12427";"7240";"FR8212020";"40";"Domaine départemental";"1"
"12428";"7240";"FR8212020";"01";"Propriété privée (personne physique)";"11"
"12429";"7240";"FR8212020";"05";"Propriété d'une association, groupement ou société";"1"
"12430";"7240";"FR8212020";"63";"Domaine public fluvial";"75"
"12431";"7240";"FR8212020";"30";"Domaine communal";"3"
"12432";"7240";"FR8212020";"10";"Etablissement public";"9"
"12433";"7242";"FR8212022";"01";"Propriété privée (personne physique)";
"12434";"7242";"FR8212022";"05";"Propriété d'une association, groupement ou société";
"12435";"7244";"FR8212024";"01";"Propriété privée (personne physique)";"0"
"12436";"7244";"FR8212024";"05";"Propriété d'une association, groupement ou société";"0"
"12437";"7244";"FR8212024";"20";"Collectivité territoriale";"0"
"12438";"7244";"FR8212024";"62";"Domaine public de l'état";"0"
"12439";"7245";"FR8212026";"01";"Propriété privée (personne physique)";
"12440";"7245";"FR8212026";"05";"Propriété d'une association, groupement ou société";
"12441";"7245";"FR8212026";"20";"Collectivité territoriale";
"12442";"7245";"FR8212026";"62";"Domaine public de l'état";
